region,total,cabeceras,centros_poblados_rural_disperso,anio
Caribe,32.9,24.9,53.2921818759389,2018
Oriental,15.7,11.3,27.3388213817308,2018
Central,17.4,11.4,32.3748420498397,2018
Pacífica (sin incluir Valle del Cauca),32.8,20.0,41.892454033919,2018
Bogotá,4.1,4.1,,2018
Antioquia,15.3,9.6,35.387228823786,2018
Valle del Cauca,14.1,12.5,23.2359133427606,2018
San Andrés,8.5,8.5,,2018
Orinoquía-Amazonía,29.8,20.0,42.4723323670424,2018
Caribe,28.1,20.1,48.7,2019
Oriental,15.2,11.6,25.2,2019
Central,15.2,10.0,28.4,2019
Pacífica (sin incluir Valle del Cauca),26.3,16.9,32.9,2019
Bogotá,7.1,7.1,,2019
Antioquia,15.7,10.2,35.9,2019
Valle del Cauca,10.8,9.3,19.4,2019
San Andrés,8.2,8.2,,2019
Orinoquía-Amazonía,30.0,20.2,42.8,2019
Caribe,28.7,20.6,49.8,2020
Oriental,14.5,10.7,25.2,2020
Central,17.9,11.4,34.7,2020
Pacífica (sin incluir Valle del Cauca),30.9,17.0,40.5,2020
Bogotá,7.5,7.5,,2020
Antioquia,14.9,10.2,32.7,2020
Valle del Cauca,11.1,8.9,24.1,2020
San Andrés,11.9,11.9,,2020
Orinoquía-Amazonía,32.2,21.5,46.5,2020
Caribe,26.8,19.6,45.3,2021
Oriental,13.7,10.5,23.0,2021
Central,14.7,10.3,26.0,2021
Pacífica (sin incluir Valle del Cauca),22.7,14.3,28.6,2021
Bogotá,5.7,5.7,,2021
Antioquia,14.3,10.8,28.0,2021
Valle del Cauca,8.6,6.9,18.6,2021
San Andrés,7.0,7.0,,2021
Orinoquía-Amazonía,28.6,21.0,39.0,2021
